timestamp_lsl,timestamp_iso,TP9,AF7,AF8,TP10
1781532842.333063,2026-06-15T21:14:04.265,8.7890625,-626.46484375,-374.0234375,62.98828125
1781532842.336946,2026-06-15T21:14:04.265,23.92578125,-672.36328125,-360.3515625,160.15625
1781532842.340830,2026-06-15T21:14:04.265,-3.90625,-546.38671875,-371.09375,13.18359375
1781532842.344713,2026-06-15T21:14:04.265,-16.11328125,-497.55859375,-393.06640625,-127.9296875
1781532842.348597,2026-06-15T21:14:04.265,-16.6015625,-765.13671875,-477.5390625,-130.37109375
1781532842.352480,2026-06-15T21:14:04.265,14.16015625,-859.86328125,-430.17578125,45.41015625
1781532842.356363,2026-06-15T21:14:04.265,28.3203125,-685.05859375,-354.98046875,164.0625
1781532842.360247,2026-06-15T21:14:04.265,-3.41796875,-709.9609375,-410.64453125,40.52734375
1781532842.364130,2026-06-15T21:14:04.265,-27.34375,-867.1875,-467.28515625,-118.1640625
1781532842.368013,2026-06-15T21:14:04.265,-38.0859375,-699.70703125,-403.80859375,-154.78515625
1781532842.371897,2026-06-15T21:14:04.265,-2.44140625,-469.23828125,-333.0078125,6.8359375
1781532842.375780,2026-06-15T21:14:04.265,21.97265625,-558.10546875,-374.51171875,153.3203125
1781532842.379949,2026-06-15T21:14:04.265,1.46484375,-833.984375,-458.0078125,76.171875
1781532842.383833,2026-06-15T21:14:04.265,-16.6015625,-737.3046875,-385.25390625,-90.8203125
1781532842.387716,2026-06-15T21:14:04.265,-42.96875,-507.8125,-364.2578125,-178.7109375
1781532842.391600,2026-06-15T21:14:04.265,-41.50390625,-642.578125,-427.24609375,-49.8046875
1781532842.395483,2026-06-15T21:14:04.265,-18.5546875,-759.765625,-439.94140625,104.98046875
1781532842.399367,2026-06-15T21:14:04.265,-23.92578125,-695.80078125,-405.76171875,43.45703125
1781532842.403250,2026-06-15T21:14:04.265,-50.78125,-800.29296875,-408.69140625,-129.39453125
1781532842.407133,2026-06-15T21:14:04.265,-94.7265625,-952.63671875,-589.84375,-224.12109375
1781532842.411017,2026-06-15T21:14:04.265,-93.26171875,-976.07421875,-628.41796875,-102.5390625
1781532842.414900,2026-06-15T21:14:04.265,-40.0390625,-518.06640625,-273.4375,71.77734375
1781532842.418784,2026-06-15T21:14:04.265,-46.38671875,-126.46484375,-248.53515625,15.13671875
1781532842.422667,2026-06-15T21:14:04.265,-97.16796875,-557.12890625,-394.04296875,-175.29296875
1781532842.426812,2026-06-15T21:14:04.265,-140.625,-711.9140625,-376.953125,-282.71484375
1781532842.430695,2026-06-15T21:14:04.265,-151.3671875,-409.66796875,-324.21875,-199.21875
1781532842.434579,2026-06-15T21:14:04.265,-111.81640625,-341.30859375,-315.4296875,-13.18359375
1781532842.438462,2026-06-15T21:14:04.265,-120.1171875,-456.0546875,-326.171875,-18.06640625
1781532842.442346,2026-06-15T21:14:04.265,-175.78125,-558.10546875,-373.046875,-220.703125
1781532842.446229,2026-06-15T21:14:04.265,-224.609375,-781.73828125,-502.9296875,-362.79296875
1781532842.450113,2026-06-15T21:14:04.265,-225.5859375,-917.96875,-467.7734375,-304.6875
1781532842.453996,2026-06-15T21:14:04.265,-181.15234375,-968.75,-510.25390625,-96.6796875
1781532842.457880,2026-06-15T21:14:04.265,-152.83203125,-769.04296875,-433.59375,-30.2734375
1781532842.461763,2026-06-15T21:14:04.265,-167.48046875,-300.29296875,-257.8125,-189.94140625
1781532842.465647,2026-06-15T21:14:04.265,-179.6875,-506.34765625,-402.34375,-294.43359375
1781532842.469530,2026-06-15T21:14:04.265,-156.25,-796.875,-441.89453125,-241.69921875
1781532842.473653,2026-06-15T21:14:04.265,-120.1171875,-506.8359375,-312.5,-65.4296875
1781532842.477537,2026-06-15T21:14:04.265,-91.30859375,-177.24609375,-236.81640625,21.97265625
1781532842.481421,2026-06-15T21:14:04.265,-104.4921875,-485.83984375,-397.4609375,-116.69921875
